time,latitude,longitude,depth,mag,nst,gap,dmin,rms,updated,place,type,horizontalError,depthError,magError,magNst,status,year,month,day,h:m:s,state,city
2021-10-18 22:00:00+00:00,40.4679985,-124.8710022,25.9,2.59,8,325,0.4712,0.19,2021-10-19T00:36:12.127Z,"52km WNW of Petrolia, CA",earthquake,14.28,11.58,0.16,3,automatic,2021,10,18,22:00:00,California,Ferndale
2021-10-18 20:40:39+00:00,37.2874985,-120.0315018,25.39,2.73,8,72,0.119,0.08,2021-10-19T00:29:39.269Z,"20km ENE of Le Grand, CA",earthquake,0.6,0.99,0.2,11,automatic,2021,10,18,20:40:39,California,Mariposa
2021-10-18 10:14:20+00:00,36.809166,-121.5461655,0.7,2.81,40,154,0.2873,0.19,2021-10-18T17:05:27.120Z,"4km S of San Juan Bautista, CA",earthquake,0.59,2.25,0.11,41,automatic,2021,10,18,10:14:20,California,San Juan Bautista
2021-10-18 09:45:06+00:00,36.1858333,-120.3091667,10.36,3.44,45,107,0.06493,0.08,2021-10-19T03:24:17.760Z,"7km NE of Coalinga, CA",earthquake,0.22,0.28,0.192,87,reviewed,2021,10,18,9:45:06,California,Coalinga
2021-10-18 09:42:15+00:00,36.1920013,-120.3143311,9.7,2.67,42,106,0.1065,0.14,2021-10-18T11:22:59.040Z,"7km NE of Coalinga, CA",earthquake,0.3,0.55,0.17,49,automatic,2021,10,18,9:42:15,California,Coalinga
2021-10-18 08:08:29+00:00,31.55961406,-104.1513886,6.157275391,3.2,15,56,0.086701415,0.3,2021-10-18T20:44:36.465Z,"43 km NW of Toyah, Texas",earthquake,1.248139145,1.660679899,0.1,6,reviewed,2021,10,18,8:08:29,Texas,Mentone
2021-10-18 08:07:22+00:00,31.55776587,-104.1535275,7.494091797,3.5,17,55,0.087953454,0.3,2021-10-18T18:06:50.842Z,"43 km NW of Toyah, Texas",earthquake,0.956253414,1.571036672,0.1,7,reviewed,2021,10,18,8:07:22,Texas,Mentone
2021-10-18 07:36:12+00:00,37.0533333,-117.9296667,1.77,2.51,26,75,0.2403,0.13,2021-10-18T20:43:10.063Z,"34km ESE of Big Pine, CA",earthquake,0.16,0.79,0.251,11,reviewed,2021,10,18,7:36:12,California,Big Pine
2021-10-18 04:14:41+00:00,31.70521977,-104.0001866,7.159887695,2.6,35,64,0.03747938,0.2,2021-10-18T19:10:19.126Z,"37 km W of Mentone, Texas",earthquake,1.530722899,1.047517182,0.1,37,reviewed,2021,10,18,4:14:41,Texas,Mentone
2021-10-18 00:41:49+00:00,36.2098333,-117.856,4.61,2.51,40,32,0.09207,0.15,2021-10-18T20:44:35.040Z,"16km ESE of Olancha, CA",earthquake,0.14,0.47,0.17,23,reviewed,2021,10,18,0:41:49,California,Lone Pine
2021-10-18 00:27:33+00:00,31.65633444,-104.5642811,6.979931641,2.9,18,80,0.055525659,0.3,2021-10-18T17:46:58.795Z,"60 km SSW of Whites City, New Mexico",earthquake,1.728002482,1.17964488,0.1,7,reviewed,2021,10,18,0:27:33,Texas,Van Horn
2021-10-17 21:41:06+00:00,36.213,-117.8613333,4.1,2.69,37,53,0.09537,0.15,2021-10-19T04:20:29.040Z,"15km ESE of Olancha, CA",earthquake,0.19,0.51,0.121,24,reviewed,2021,10,17,21:41:06,California,Lone Pine
2021-10-17 19:00:11+00:00,31.7083597,-104.0222806,7.725463867,3.4,18,53,0.024991888,0.2,2021-10-18T18:01:04.744Z,"40 km W of Mentone, Texas",earthquake,0.904619207,0.656582856,0.2,9,reviewed,2021,10,17,19:00:11,Texas,Mentone
2021-10-17 16:58:41+00:00,31.71388242,-104.0201538,7.622631836,2.9,17,50,0.020461164,0.2,2021-10-18T17:42:00.534Z,"39 km W of Mentone, Texas",earthquake,0.828919835,0.598512397,0.1,9,reviewed,2021,10,17,16:58:41,Texas,Mentone
2021-10-17 13:19:00+00:00,36.2131667,-117.86,4.19,3.98,43,52,0.09548,0.16,2021-10-18T13:21:53.345Z,"15km ESE of Olancha, CA",earthquake,0.15,0.51,0.159464844,6,reviewed,2021,10,17,13:19:00,California,Lone Pine
2021-10-17 02:55:02+00:00,37.550499,-121.7006683,3.1,2.83,69,52,0.07277,0.09,2021-10-18T23:30:29.028Z,"16km SSE of Livermore, CA",earthquake,0.16,0.55,0.1,99,automatic,2021,10,17,2:55:02,California,Livermore
2021-10-16 23:49:47+00:00,45.0561667,-114.3693333,6.93,2.82,24,93,0.356,0.34,2021-10-17T15:45:24.860Z,"39 km WSW of Salmon, Idaho",earthquake,0.68,1.7,0.113,25,reviewed,2021,10,16,23:49:47,Idaho,Salmon
2021-10-16 22:55:40+00:00,37.4923325,-118.7506638,13.96,2.99,29,120,0.1158,0.04,2021-10-18T18:50:02.028Z,"10km SW of Toms Place, CA",earthquake,0.34,0.89,0.13,44,automatic,2021,10,16,22:55:40,California,Mammoth Lakes
2021-10-16 22:34:15+00:00,31.66325822,-104.3630436,6.774267578,2.6,30,80,0.117541454,0.3,2021-10-18T19:37:55.317Z,"56 km S of Whites City, New Mexico",earthquake,1.092602889,1.581540438,0.2,46,reviewed,2021,10,16,22:34:15,New Mexico,Loving
2021-10-16 21:10:18+00:00,38.5470009,-119.529335,3.63,2.62,13,81,0.03958,0.07,2021-10-18T01:03:38.333Z,"6km NW of Walker, CA",earthquake,0.3,0.57,0.22,10,automatic,2021,10,16,21:10:18,Nevada,Smith Valley
2021-10-16 10:09:33+00:00,36.2569,-106.7809,5.56,2.7,42.15871825,98,1.334,0.24,2021-10-16T11:09:08.158Z,"3 km NE of Capulin, New Mexico",earthquake,2.1,6,0.043,74,reviewed,2021,10,16,10:09:33,New Mexico,Santa Teresa
2021-10-16 08:30:50+00:00,46.3613,-116.6163,10,2.9,42.15871825,112,0.575,0.45,2021-10-17T16:01:54.734Z,"4 km ESE of Culdesac, Idaho",earthquake,3.6,2,0.045,66,reviewed,2021,10,16,8:30:50,Idaho,Lapwai
2021-10-16 06:31:50+00:00,38.1314,-117.9823,9.7,2.9,19,49.69,0.02,0.1098,2021-10-18T18:25:43.336Z,"30 km SSE of Mina, Nevada",earthquake,1.05535678,0.9,0.33,11,reviewed,2021,10,16,6:31:50,Nevada,Hawthorne
2021-10-16 04:20:19+00:00,35.4463333,-118.2773333,6.87,2.61,53,53,0.1436,0.13,2021-10-17T18:54:44.290Z,"25km SE of Bodfish, CA",earthquake,0.11,0.56,0.151,97,reviewed,2021,10,16,4:20:19,California,Weldon
2021-10-15 19:54:07+00:00,38.9293333,-123.0351667,4.42,2.97,70,51,0.07032,0.08,2021-10-16T15:41:11.040Z,"14km N of Cloverdale, CA",earthquake,0.17,0.48,0.183,45,reviewed,2021,10,15,19:54:07,California,Cloverdale
2021-10-15 12:36:04+00:00,38.1348,-117.9846,9,3.7,24,43.08,0.02,0.1121,2021-10-16T12:38:22.061Z,"30 km SSE of Mina, Nevada",earthquake,1.05535678,0.7,0.24,11,reviewed,2021,10,15,12:36:04,Nevada,Hawthorne
2021-10-15 00:04:32+00:00,39.0756,-115.6637,10,3.6,11,99.55,1.454,0.123,2021-10-16T00:06:07.392Z,"54 km SSE of Eureka, Nevada",earthquake,1.05535678,3.9,0.28,7,reviewed,2021,10,15,0:04:32,Nevada,Eureka
2021-10-14 23:22:31+00:00,31.67586515,-104.4040658,7.494091797,2.7,16,56,0.082761102,0.3,2021-10-15T21:20:00.831Z,"55 km S of Whites City, New Mexico",earthquake,1.30751421,1.430450195,0.1,7,reviewed,2021,10,14,23:22:31,New Mexico,Loving
2021-10-14 22:05:10+00:00,31.99008647,-103.8697442,7.519799805,3.3,20,45,0.055078344,0.1,2021-10-15T21:53:29.526Z,"32 km SE of Malaga, New Mexico",earthquake,0.737502019,0.988623853,0.1,7,reviewed,2021,10,14,22:05:10,New Mexico,Loving
2021-10-14 13:33:47+00:00,43.7791667,-107.2478333,16.66,2.82,11,86,1.246,0.21,2021-10-16T16:32:51.980Z,"32 km SSE of Ten Sleep, Wyoming",earthquake,0.63,3.98,0.165,11,reviewed,2021,10,14,13:33:47,Wyoming,Worland
2021-10-13 21:41:33+00:00,38.8086667,-122.8123333,1.79,2.59,67,29,0.01316,0.07,2021-10-15T01:11:11.517Z,"6km NW of The Geysers, CA",earthquake,0.13,0.18,0.088,35,reviewed,2021,10,13,21:41:33,California,Cobb
2021-10-13 18:43:44+00:00,44.472,-115.2276667,4.93,2.54,11,110,0.857,0.2,2021-10-15T15:24:34.770Z,"36 km NW of Stanley, Idaho",earthquake,0.68,1.52,0.138,12,reviewed,2021,10,13,18:43:44,Idaho,Cascade
2021-10-12 19:50:15+00:00,33.8738333,-119.3443333,5.91,3.25,61,134,0.3232,0.32,2021-10-13T19:42:52.026Z,"24km SE of Santa Cruz Is. (E end), CA",earthquake,0.35,31.61,0.156,126,reviewed,2021,10,12,19:50:15,California,Channel Islands Beach
2021-10-12 16:53:58+00:00,38.171,-117.8477,9.8,2.9,26,46.16,0.021,0.1465,2021-10-18T15:44:15.040Z,"33 km SE of Mina, Nevada",earthquake,1.05535678,0.7,0.34,12,reviewed,2021,10,12,16:53:58,Nevada,Tonopah
2021-10-12 16:23:39+00:00,38.8599,-97.3138,5,2.5,42.15871825,87,0.599,0.7,2021-10-12T18:58:07.945Z,"8 km SE of Solomon, Kansas",earthquake,2.4,2,0.085,36,reviewed,2021,10,12,16:23:39,Kansas,Solomon
2021-10-12 11:29:05+00:00,40.2886667,-124.4941667,20.61,3.84,36,246,0.1159,0.14,2021-10-14T19:11:44.515Z,"18km WSW of Petrolia, CA",earthquake,0.63,0.28,0.159464844,4,reviewed,2021,10,12,11:29:05,California,Ferndale
2021-10-12 08:28:37+00:00,38.1602,-117.901,10.3,3.5,31,41.24,0.023,0.1447,2021-10-13T08:30:17.231Z,"31 km SE of Mina, Nevada",earthquake,1.05535678,0.5,0.34,15,reviewed,2021,10,12,8:28:37,Nevada,Tonopah
2021-10-12 05:59:12+00:00,31.67458066,-104.3895193,7.442675781,3,22,56,0.095031086,0.3,2021-10-12T21:23:52.110Z,"55 km S of Whites City, New Mexico",earthquake,1.207072318,1.307721455,0.1,11,reviewed,2021,10,12,5:59:12,New Mexico,Loving
2021-10-12 03:32:09+00:00,31.65968688,-104.4846563,6.465771484,2.6,15,69,0.016384319,0.3,2021-10-12T23:59:37.776Z,"58 km S of Whites City, New Mexico",earthquake,1.850292794,1.452918892,0.1,8,reviewed,2021,10,12,3:32:09,Texas,Van Horn
2021-10-11 23:14:47+00:00,35.658,-117.5356667,7.73,3.08,44,51,0.09313,0.14,2021-10-15T03:06:01.040Z,"13km ENE of Ridgecrest, CA",earthquake,0.12,0.48,0.163,219,reviewed,2021,10,11,23:14:47,California,Ridgecrest
2021-10-11 22:49:02+00:00,31.68498564,-104.4149163,7.391259766,2.7,19,49,0.075005129,0.3,2021-10-18T18:09:30.334Z,"54 km S of Whites City, New Mexico",earthquake,1.218082305,1.506549409,0.1,10,reviewed,2021,10,11,22:49:02,New Mexico,Loving
2021-10-11 20:38:55+00:00,37.4445,-118.5426667,10.19,2.71,26,56,0.0918,0.04,2021-10-17T14:19:59.040Z,"6km NE of Round Valley, CA",earthquake,0.22,0.77,0.259,46,reviewed,2021,10,11,20:38:55,California,West Bishop
2021-10-11 06:08:15+00:00,44.3035,-115.0992,10,2.7,42.15871825,65,0.891,0.53,2021-10-15T14:41:42.211Z,"16 km NW of Stanley, Idaho",earthquake,2.1,2,0.039,85,reviewed,2021,10,11,6:08:15,Idaho,Idaho City
2021-10-11 06:04:56+00:00,44.3126,-115.1023,10,2.7,42.15871825,64,0.899,0.34,2021-10-15T14:33:58.040Z,"16 km NW of Stanley, Idaho",earthquake,3,2,0.045,66,reviewed,2021,10,11,6:04:56,Idaho,Idaho City
2021-10-11 05:45:35+00:00,44.2675,-115.0535,10,2.5,42.15871825,67,0.842,0.68,2021-10-15T14:19:10.040Z,"10 km WNW of Stanley, Idaho",earthquake,3.7,2,0.044,68,reviewed,2021,10,11,5:45:35,Idaho,Challis
2021-10-11 03:53:41+00:00,29.36737061,-97.37971048,2.518839518,2.6,16,102,0.109138934,0.3,2021-10-13T02:13:05.040Z,"16 km SSE of Gonzales, Texas",earthquake,1.987882942,2.100030119,0.1,9,reviewed,2021,10,11,3:53:41,Texas,Gonzales
2021-10-10 19:25:53+00:00,44.2866,-115.186,10,2.7,42.15871825,87,0.914,0.86,2021-10-11T15:51:16.280Z,"21 km WNW of Stanley, Idaho",earthquake,3,2,0.091,16,reviewed,2021,10,10,19:25:53,Idaho,Idaho City
